Country ,Continent,Total_Time_Spent_on_Devices,Internet_via_Mobiles,Internet_via_Computer,%_of_Population_Using_the_Internet,Mobile_Internet_Speed(Mbps),Fixed_Internet_Speed(Mbps),Streaming_TV(%),Playing_Video_Games(%),Time_Spent_using_game_console,Daily_Time_Spent_Using_SocialMedia,Number_of_SocialMedia_Accounts,Listening_to_Podcasts(%),Time_Spent_Listening_to_Podcasts,Listen_to_Streaming_MusicServices(%),Time_Spent_Listening_to_MusicStreaming_services,Mobile_Internet_Share,Computer_Internet_Share,SocialMedia_Time_Ratio,Gaming_Time_Ratio,Streaming_Time_Ratio,Podcast_Time_Ratio,MusicStreaming_Time_Ratio,Digital_Dependency_Index,Connectivity_Structure_Index,Engagement_Penetration_Index,Exposure_Risk_Score
France,Europe,5.57,2.32,3.25,93,52.73,91.59,89.3,78.4,0.92,1.77,5.5,12.5,0.48,32.5,1.1,0.024946237,0.034946237,0.317773788,0.165170557,16.03231598,0.086175943,0.197486535,3.022,37.21796774,68.99,4.986355476
Germany,Europe,5.37,2.23,3.13,93,51.03,67.15,84.9,74.1,0.78,1.48,5.3,18.1,0.57,37.5,1.12,0.023978495,0.033655914,0.275605214,0.145251397,15.81005587,0.106145251,0.208566108,2.8325,37.21729032,67.44,4.896834264
Greece,Europe,6.1,2.62,3.48,82.2,52.59,31.85,96.9,85,0.67,1.83,6.6,12.7,0.4,28.1,0.97,0.031873479,0.042335766,0.3,0.109836066,15.8852459,0.06557377,0.159016393,3.1915,32.90226277,72.69,4.91852459
Hong Kong,Asia,6.77,3.52,3.25,93,42.75,158.19,96.9,87.4,0.98,1.88,7.1,15.9,0.57,37.5,1.05,0.037849462,0.034946237,0.277695716,0.144756278,14.31314623,0.084194978,0.155096012,3.549,37.22183871,76.23,4.44844904
India,Asia,7.3,4.08,3.22,47,14.39,47.4,97.2,92,1.35,2.6,8.6,21.3,1.03,45.6,1.9,0.086808511,0.068510638,0.356164384,0.184931507,13.31506849,0.14109589,0.260273973,4.1165,18.84659574,80.16,4.192465753
Indonesia,Asia,8.62,4.93,3.68,73.7,15.82,20.13,97.1,94.5,1.32,3.28,8.5,35.6,0.92,47.5,1.67,0.066892809,0.049932157,0.380510441,0.153132251,11.26450116,0.106728538,0.193735499,4.8255,29.51504749,81.44,3.5774942
Ireland,Europe,6.52,3.08,3.43,99,27.96,65.29,90.9,71.9,0.92,1.98,6.7,29.3,0.88,39.6,1.47,0.031111111,0.034646465,0.303680982,0.141104294,13.94171779,0.134969325,0.225460123,3.5035,39.61972727,69.81,4.346319018
Israel,Asia,7.58,3.52,4.07,90,24.8,85.66,95.7,75.2,0.32,1.97,5.5,17.8,0.37,30.5,1.05,0.039111111,0.045222222,0.259894459,0.042216359,12.62532982,0.048812665,0.138522427,3.758,36.0253,69.99,3.904221636
Italy,Europe,6.17,2.75,3.42,84.3,34.53,49.82,91.7,81.8,0.8,1.78,6,14.1,0.48,43.6,1.08,0.03262159,0.040569395,0.288492707,0.129659643,14.86223663,0.077795786,0.175040519,3.24,33.7419573,74.3,4.612965964
Japan,Asia,4.42,1.65,2.77,94,40.89,93.26,76.1,71.7,0.5,0.85,3.9,4.5,0.2,23.7,0.45,0.017553191,0.029468085,0.192307692,0.113122172,17.21719457,0.045248869,0.101809955,2.1555,37.61410638,59.06,5.2760181
